ISO 3166-1 Alpha 3-Codes,Country name,Country category,COD-AB URL
JAM,Jamaica,Preparedness,https://data.humdata.org/dataset/cod-ab-jam
JPN,Japan,Preparedness,https://data.humdata.org/dataset/cod-ab-jpn
KAZ,Kazakhstan,Preparedness,https://data.humdata.org/dataset/cod-ab-kaz
KEN,Kenya,Preparedness,https://data.humdata.org/dataset/cod-ab-ken
KGZ,Kyrgyzstan,Preparedness,https://data.humdata.org/dataset/cod-ab-kgz
KHM,Cambodia,Preparedness,https://data.humdata.org/dataset/cod-ab-khm
KIR,Kiribati,Preparedness,https://data.humdata.org/dataset/cod-ab-kir
KNA,Saint Kitts and Nevis,Preparedness,https://data.humdata.org/dataset/cod-ab-kna
KWT,Kuwait,Preparedness,https://data.humdata.org/dataset/cod-ab-kwt
LAO,Lao People's Democratic Republic,Preparedness,https://data.humdata.org/dataset/cod-ab-lao
LBN,Lebanon,Operational,https://data.humdata.org/dataset/cod-ab-lbn
LBR,Liberia,Preparedness,https://data.humdata.org/dataset/cod-ab-lbr
LBY,Libya,Operational,https://data.humdata.org/dataset/cod-ab-lby
LCA,Saint Lucia,Preparedness,https://data.humdata.org/dataset/cod-ab-lca
LKA,Sri Lanka,Preparedness,https://data.humdata.org/dataset/cod-ab-lka
LSO,Lesotho,Preparedness,https://data.humdata.org/dataset/cod-ab-lso
MAF,Saint Martin (French part),Preparedness,https://data.humdata.org/dataset/cod-ab-maf
MAR,Morocco,Preparedness,https://data.humdata.org/dataset/cod-ab-mar
MDA,Republic of Moldova,Preparedness,https://data.humdata.org/dataset/cod-ab-mda
MDG,Madagascar,Preparedness,https://data.humdata.org/dataset/cod-ab-mdg
MDV,Maldives,Preparedness,https://data.humdata.org/dataset/cod-ab-mdv
MEX,Mexico,Preparedness,https://data.humdata.org/dataset/cod-ab-mex
MHL,Marshall Islands,Preparedness,https://data.humdata.org/dataset/cod-ab-mhl
MKD,Republic of North Macedonia,Preparedness,https://data.humdata.org/dataset/cod-ab-mkd
MLI,Mali,Operational,https://data.humdata.org/dataset/cod-ab-mli
MMR,Myanmar,Operational,https://data.humdata.org/dataset/mimu-geonode-myanmar-township-boundaries-mimu
MNG,Mongolia,Preparedness,https://data.humdata.org/dataset/cod-ab-mng
MOZ,Mozambique,Operational,https://data.humdata.org/dataset/cod-ab-moz
MRT,Mauritania,Preparedness,https://data.humdata.org/dataset/cod-ab-mrt
MSR,Montserrat,Preparedness,https://data.humdata.org/dataset/cod-ab-msr
MTQ,Martinique,Preparedness,https://data.humdata.org/dataset/cod-ab-mtq
MUS,Mauritius,Preparedness,https://data.humdata.org/dataset/cod-ab-mus
MWI,Malawi,Preparedness,https://data.humdata.org/dataset/cod-ab-mwi
MYS,Malaysia,Preparedness,https://data.humdata.org/dataset/cod-ab-mys
NAM,Namibia,Preparedness,https://data.humdata.org/dataset/cod-ab-nam
NER,Niger,Operational,https://data.humdata.org/dataset/cod-ab-ner
NGA,Nigeria,Operational,https://data.humdata.org/dataset/cod-ab-nga
NIC,Nicaragua,Preparedness,https://data.humdata.org/dataset/cod-ab-nic
NPL,Nepal,Preparedness,https://data.humdata.org/dataset/cod-ab-npl
NRU,Nauru,Preparedness,
OMN,Oman,Preparedness,https://data.humdata.org/dataset/cod-ab-omn
PAK,Pakistan,Preparedness,https://data.humdata.org/dataset/cod-ab-pak
PAN,Panama,Preparedness,https://data.humdata.org/dataset/cod-ab-pan
PER,Peru,Preparedness,https://data.humdata.org/dataset/cod-ab-per
PHL,Philippines,Preparedness,https://data.humdata.org/dataset/cod-ab-phl
PNG,Papua New Guinea,Preparedness,https://data.humdata.org/dataset/cod-ab-png
PRI,Puerto Rico,Preparedness,https://data.humdata.org/dataset/cod-ab-pri
PRK,Democratic People's Republic of Korea,Preparedness,https://data.humdata.org/dataset/cod-ab-prk
PRY,Paraguay,Preparedness,https://data.humdata.org/dataset/cod-ab-pry
PSE,State of Palestine,Operational,https://data.humdata.org/dataset/cod-ab-pse
QAT,Qatar,Preparedness,https://data.humdata.org/dataset/cod-ab-qat
RWA,Rwanda,Preparedness,https://data.humdata.org/dataset/cod-ab-rwa
SAU,Saudi Arabia,Preparedness,https://data.humdata.org/dataset/cod-ab-sau
SDN,Sudan,Operational,https://data.humdata.org/dataset/cod-ab-sdn
SEN,Senegal,Preparedness,https://data.humdata.org/dataset/cod-ab-sen
SLB,Solomon Islands,Preparedness,https://data.humdata.org/dataset/cod-ab-slb
SLE,Sierra Leone,Preparedness,https://data.humdata.org/dataset/cod-ab-sle
SLV,El Salvador,Operational,https://data.humdata.org/dataset/cod-ab-slv
SOM,Somalia,Operational,https://data.humdata.org/dataset/cod-ab-som
SSD,South Sudan,Operational,https://data.humdata.org/dataset/cod-ab-ssd
STP,Sao Tome and Principe,Preparedness,https://data.humdata.org/dataset/cod-ab-stp
SUR,Suriname,Preparedness,https://data.humdata.org/dataset/cod-ab-sur
SWZ,Kingdom of Eswatini,Preparedness,https://data.humdata.org/dataset/cod-ab-swz
SXM,Sint Maarten (Dutch part),Preparedness,https://data.humdata.org/dataset/cod-ab-sxm
SYC,Seychelles,Preparedness,https://data.humdata.org/dataset/cod-ab-syc
SYR,Syrian Arab Republic,Operational,https://data.humdata.org/dataset/cod-ab-syr
TCA,Turks and Caicos Islands,Preparedness,https://data.humdata.org/dataset/cod-ab-tca
TCD,Chad,Operational,https://data.humdata.org/dataset/cod-ab-tcd
