id,iso_3,clip_all,clip_intl,attr_all,attr_intl,adm0_name,adm0_name1,cod_lvl,cod_lvl_max,cod_api_idx,cod_lang,cod_lang1,cod_lang2,geoboundaries_lvl,geoboundaries_lvl_max,geoboundaries_grp
VEN_1,VEN,,,,,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),3,,,es,,,2,,
VEN_2,VEN,,,,,Bird Island (Ven.),Venezuela (Bolivarian Republic of),,,,,,,,,
VGB,VGB,,,,,British Virgin Islands (UK),British Virgin Islands,1,,,en,,,,0,
VIR,VIR,,,,,United States Virgin Islands (USA),United States Virgin Islands,2,,,en,,,3,3,
VNM,VNM,,,,,Viet Nam,Viet Nam,2,,,en,vi,,2,,
VUT,VUT,,,,,Vanuatu,Vanuatu,2,,,en,,,3,,
WLF,WLF,,,,,Wallis and Futuna Islands (Fr.),Wallis and Futuna Islands,,,,,,,,0,
WSM,WSM,,,,,Samoa,Samoa,,,,,,,2,,
YEM,YEM,,,,,Yemen,Yemen,3,,,en,ar,,2,,
ZAF_1,ZAF,,,,,South Africa,South Africa,4,,,en,,,4,,
ZAF_2,ZAF,,,,,Prince Edward Islands (SA),South Africa,,,,,,,,,
ZMB,ZMB,,,,,Zambia,Zambia,4,,,en,,,2,,
ZWE,ZWE,,,,,Zimbabwe,Zimbabwe,3,,,en,,,3,,
XAB,XAB,,,,,Abyei,Abyei,,,,,,,,,
XAC,XAC,,,,,,Aksai Chin,,,,,,,,,
XAK,XAK,,,,XJK,Azad Kashmir and Northern Areas,Azad Kashmir and Northern Areas,3,,,en,,,3,,PAK
XAP,XAP,,,,,,Arunachal Pradesh,,,,,,,,,
XCE,XCE,,,,,,Chumar East,,,,,,,,,
XCH,XCH,,,,,,Chumar,,,,,,,,,
XCR,XCR,,,,,,Congo River,,,,,,,,,
XDE,XDE,,,,,,Demchok,,,,,,,,,
XDI,XDI,,,,,,Doumeira Islands,,,,,,,,,
XDS,XDS,,,,,,Dramana-Shakatoe,,,,,,,,,
XGH,XGH,,0,,,,Golan Heights,,,,,,,,,
XHI,XHI,,,,,,Hans Island,,,,,,,,,
XHT,XHT,,,,,,Hala'ib Triangle,,,,,,,,,
XIB,XIB,,,,,,Isla Brasilera,,,,,,,,,
XIK,XIK,,,,,,Imia/Kardak,,,,,,,,,
XIT,XIT,0,,,,,Ilemi Triangle,,,,,,,,,
XIT_1,XIT,,0,,,,Ilemi Triangle,,,,,,,,,
XIT_2,XIT,,0,,,,Ilemi Triangle,,,,,,,,,
XIT_3,XIT,,0,,,,Ilemi Triangle,,,,,,,,,
XJK,XJK,,,,,Jammu and Kashmir,Jammu and Kashmir,,,,,,,3,,IND
XJL,XJL,,,,,,No Man's Land,,,,,,,,,
XJN,XJN,,,,,,Jadh-Nelang,,,,,,,,,
XKA,XKA,,,,,,Kalapani,,,,,,,,,
XKI,XKI,,,,,,Kuril Islands,,,,,,,,,
XKK,XKK,,0,,,,Kafia Kingi,,,,,,,,,
XKO,XKO,,,,,,Koualou,,,,,,,,,
XKT,XKT,,,,,,Koktash-Khoji Alo,,,,,,,,,
XKU,XKU,,,,,,Kauirik,,,,,,,,,
XKX,XKX,,,,SRB,Kosovo,Kosovo,,,,,,,2,,
XLB,XLB,,,,,,Lapthal-Bara Hoti,,,,,,,,,
XLE,XLE,,,,,,Leilek,,,,,,,,,
XLR,XLR,,,,,,Liancourt Rocks,,,,,,,,,
XMA,XMA,,,,,,Machias Seal Island,,,,,,,,,
XMB,XMB,,,,,,Mont Blanc,,,,,,,,,
XMR,XMR,,,,,,Moselle River,,,,,,,,,
XMS,XMS,,,,,,Bi'r Tawīl,,,,,,,,,
XPH,XPH,,,,,,Pheasant Island,,,,,,,,,
XPI,XPI,,,,,,Paracel Islands,,,,,,,,,
XSI,XSI,,,,,,Spratly Islands,,,,,,,,,
XSK,XSK,,,,,,Senkaku Islands,,,,,,,,,
XSP,XSP,,,,,,Shipki Pass,,,,,,,,,
XSR,XSR,,,,,,Scarborough Reef,,,,,,,,,
XSS,XSS,,,,XJK,,Siachen-Saltoro,,,,,,,1,,
XUK_1,XUK,,,,,Akrotiri (UK),Akrotiri and Dekelia,,,,,,,,,
XUK_2,XUK,,,,,Dekelia (UK),Akrotiri and Dekelia,,,,,,,,,
XVO,XVO,,,,,,Vorukh NW-Ak Sai,,,,,,,,,
